,asd_desc,agg_level_desc,year,crop,info,class_desc,domain_desc,unit_desc,commodity_desc,value
442,EAST,AGRICULTURAL DISTRICT,1990,POTATOES ,"YIELD, MEASURED IN CWT / ACRE",ALL CLASSES,TOTAL,CWT / ACRE,POTATOES,268
90,EAST,AGRICULTURAL DISTRICT,1990,"BEANS, DRY EDIBLE, INCL CHICKPEAS ","YIELD, MEASURED IN LB / ACRE","DRY EDIBLE, INCL CHICKPEAS",TOTAL,LB / ACRE,BEANS,1250
100,EAST,AGRICULTURAL DISTRICT,1990,"BEANS, DRY EDIBLE, INCL CHICKPEAS, IRRIGATED ","YIELD, MEASURED IN LB / ACRE","DRY EDIBLE, INCL CHICKPEAS",TOTAL,LB / ACRE,BEANS,1250
133,EAST,AGRICULTURAL DISTRICT,1990,"CORN, SILAGE ","YIELD, MEASURED IN TONS / ACRE",ALL CLASSES,TOTAL,TONS / ACRE,CORN,18.9
147,EAST,AGRICULTURAL DISTRICT,1990,"HAY, ALFALFA ","YIELD, MEASURED IN TONS / ACRE",ALFALFA,TOTAL,TONS / ACRE,HAY,3.51
157,EAST,AGRICULTURAL DISTRICT,1990,"HAY, ALFALFA, IRRIGATED ","YIELD, MEASURED IN TONS / ACRE",ALFALFA,TOTAL,TONS / ACRE,HAY,3.93
167,EAST,AGRICULTURAL DISTRICT,1990,"HAY, ALFALFA, NON-IRRIGATED ","YIELD, MEASURED IN TONS / ACRE",ALFALFA,TOTAL,TONS / ACRE,HAY,1.32
208,EAST,AGRICULTURAL DISTRICT,1990,SUGARBEETS ,"YIELD, MEASURED IN TONS / ACRE",ALL CLASSES,TOTAL,TONS / ACRE,SUGARBEETS,26.2
3,SOUTH CENTRAL,AGRICULTURAL DISTRICT,1990,BARLEY ,ACRES HARVESTED,ALL CLASSES,TOTAL,ACRES,BARLEY,140000
19,SOUTH CENTRAL,AGRICULTURAL DISTRICT,1990,"BARLEY, IRRIGATED ",ACRES HARVESTED,ALL CLASSES,TOTAL,ACRES,BARLEY,128000
34,SOUTH CENTRAL,AGRICULTURAL DISTRICT,1990,"BARLEY, NON-IRRIGATED ",ACRES HARVESTED,ALL CLASSES,TOTAL,ACRES,BARLEY,12000
49,SOUTH CENTRAL,AGRICULTURAL DISTRICT,1990,"BARLEY, NON-IRRIGATED, CONTINUOUS CROP ",ACRES HARVESTED,ALL CLASSES,TOTAL,ACRES,BARLEY,10500
64,SOUTH CENTRAL,AGRICULTURAL DISTRICT,1990,"BARLEY, NON-IRRIGATED, FOLLOWING SUMMER FALLOW ",ACRES HARVESTED,ALL CLASSES,TOTAL,ACRES,BARLEY,1500
84,SOUTH CENTRAL,AGRICULTURAL DISTRICT,1990,"BEANS, DRY EDIBLE, INCL CHICKPEAS ",ACRES HARVESTED,"DRY EDIBLE, INCL CHICKPEAS",TOTAL,ACRES,BEANS,133300
94,SOUTH CENTRAL,AGRICULTURAL DISTRICT,1990,"BEANS, DRY EDIBLE, INCL CHICKPEAS, IRRIGATED ",ACRES HARVESTED,"DRY EDIBLE, INCL CHICKPEAS",TOTAL,ACRES,BEANS,133300
117,SOUTH CENTRAL,AGRICULTURAL DISTRICT,1990,"CORN, GRAIN ",ACRES HARVESTED,ALL CLASSES,TOTAL,ACRES,CORN,10900
127,SOUTH CENTRAL,AGRICULTURAL DISTRICT,1990,"CORN, SILAGE ",ACRES HARVESTED,ALL CLASSES,TOTAL,ACRES,CORN,26100
140,SOUTH CENTRAL,AGRICULTURAL DISTRICT,1990,"HAY, ALFALFA ",ACRES HARVESTED,ALFALFA,TOTAL,ACRES,HAY,277000
151,SOUTH CENTRAL,AGRICULTURAL DISTRICT,1990,"HAY, ALFALFA, IRRIGATED ",ACRES HARVESTED,ALFALFA,TOTAL,ACRES,HAY,230000
161,SOUTH CENTRAL,AGRICULTURAL DISTRICT,1990,"HAY, ALFALFA, NON-IRRIGATED ",ACRES HARVESTED,ALFALFA,TOTAL,ACRES,HAY,47000
180,SOUTH CENTRAL,AGRICULTURAL DISTRICT,1990,OATS ,ACRES HARVESTED,ALL CLASSES,TOTAL,ACRES,OATS,2500
202,SOUTH CENTRAL,AGRICULTURAL DISTRICT,1990,SUGARBEETS ,ACRES HARVESTED,ALL CLASSES,TOTAL,ACRES,SUGARBEETS,102800
212,SOUTH CENTRAL,AGRICULTURAL DISTRICT,1990,WHEAT ,ACRES HARVESTED,ALL CLASSES,TOTAL,ACRES,WHEAT,249000
